employee_id,absence_days,absence_events,main_group
ANON_65X48X48X48X48X50X51X54X48X55X50X,26.0,32,Congés
ANON_65X48X48X48X48X50X51X55X53X55X53X,31.5,42,Congés
ANON_65X48X48X48X48X50X51X57X56X56X53X,39.0,46,Congés
ANON_65X48X48X48X50X53X48X49X50X52X55X,29.5,40,Congés
ANON_65X48X48X48X50X53X48X49X53X52X48X,34.5,47,Congés
ANON_65X48X48X48X50X53X48X51X49X50X57X,33.5,42,Congés
ANON_65X48X48X48X50X53X48X51X51X48X51X,21.0,29,Congés
ANON_65X48X48X48X50X53X48X51X53X57X48X,33.0,45,Congés
ANON_65X48X48X48X50X53X48X51X54X56X56X,48.0,59,Congés
ANON_65X48X48X48X50X53X48X52X57X52X53X,35.5,46,Congés
ANON_65X48X48X48X50X53X48X53X49X51X57X,131.0,185,Absences non suivi
ANON_65X48X48X48X50X53X48X53X50X49X50X,36.0,44,Congés
ANON_65X48X48X48X50X53X48X53X50X56X53X,50.0,60,Congés
ANON_65X48X48X48X50X53X48X54X55X54X50X,17.0,18,Congés
ANON_65X48X48X48X50X53X48X55X48X50X53X,36.0,51,Absences Autres motifs
ANON_65X48X48X48X50X53X48X56X50X55X49X,18.0,22,Congés
ANON_65X48X48X48X50X53X48X56X53X52X57X,18.0,23,Congés
ANON_65X48X48X48X50X53X49X48X48X49X50X,12.0,15,Congés
ANON_65X48X48X48X50X53X49X48X56X50X56X,36.0,48,Congés
ANON_65X48X48X48X50X53X49X49X56X53X56X,34.5,39,Congés
ANON_65X48X48X48X50X53X49X50X48X57X57X,40.5,45,Congés
ANON_65X48X48X48X50X53X49X50X53X48X51X,29.0,35,Congés
ANON_65X48X48X48X50X53X49X51X48X51X52X,42.0,53,Congés
ANON_65X48X48X48X50X53X49X52X50X48X57X,32.0,38,Congés
ANON_65X48X48X48X50X53X49X52X51X52X56X,38.5,48,Congés
ANON_65X48X48X48X51X48X48X48X49X54X53X,44.5,71,Congés
ANON_65X48X48X48X51X48X48X48X52X53X50X,42.5,47,Congés
ANON_65X48X48X48X51X48X48X48X52X54X53X,139.5,197,Maternité et paternité
ANON_65X48X48X48X51X48X48X48X56X57X54X,44.5,52,Congés
ANON_65X48X48X48X51X48X48X49X57X48X52X,41.5,51,Congés
ANON_65X48X48X48X51X48X48X50X48X56X53X,20.5,25,Congés
ANON_65X48X48X48X51X48X48X51X50X49X55X,35.0,40,Congés
ANON_65X48X48X48X51X48X48X51X53X56X50X,182.0,261,Maternité et paternité
ANON_65X48X48X48X51X48X48X51X54X57X52X,12.5,15,Congés
ANON_65X48X48X48X51X48X48X51X55X53X49X,173.5,247,Maternité et paternité
ANON_65X48X48X48X51X48X48X52X54X51X57X,35.0,39,Congés
ANON_65X48X48X48X51X48X48X52X55X52X51X,31.0,43,Congés
ANON_65X48X48X48X51X48X48X52X56X50X48X,49.0,65,Congés
ANON_65X48X48X48X51X48X48X53X50X50X48X,35.0,38,Congés
ANON_65X48X48X48X51X48X48X53X53X55X49X,33.0,40,Congés
ANON_65X48X48X48X51X48X48X53X57X54X55X,41.5,55,Congés
ANON_65X48X48X48X51X48X48X54X54X48X50X,187.0,273,Maternité et paternité
ANON_65X48X48X48X51X48X48X54X54X48X56X,42.0,59,Maladie
ANON_65X48X48X48X51X48X48X54X55X49X55X,35.0,38,Congés
ANON_65X48X48X48X51X48X48X54X56X51X57X,101.0,177,Absences Autres motifs
ANON_65X48X48X48X51X48X48X54X56X55X56X,13.0,15,Congés
ANON_65X48X48X48X51X48X48X54X56X55X57X,36.0,39,Congés
ANON_65X48X48X48X51X48X48X54X57X50X53X,31.0,44,Congés
ANON_65X48X48X48X51X48X48X56X50X48X53X,46.0,61,Congés
ANON_65X48X48X48X51X48X48X56X53X51X55X,42.5,50,Congés
ANON_65X48X48X48X51X48X48X56X56X48X52X,99.0,136,Maladie
ANON_65X48X48X48X51X48X48X57X50X56X52X,15.0,19,Maladie
ANON_65X48X48X48X51X48X48X57X51X50X57X,36.0,47,Congés
ANON_65X48X48X48X51X48X48X57X53X49X48X,2.0,2,Congés
ANON_65X48X48X48X51X48X48X57X57X57X54X,33.0,39,Congés
ANON_65X48X48X48X51X48X49X48X48X49X51X,19.0,25,Congés
ANON_65X48X48X48X51X48X49X48X50X52X50X,10.0,13,Congés
ANON_65X48X48X48X51X48X49X48X52X52X55X,10.5,13,Congés
ANON_65X48X48X48X51X48X49X48X53X49X51X,28.0,31,Congés
ANON_65X48X48X48X51X48X49X48X53X54X52X,33.0,39,Congés
ANON_65X48X48X48X51X48X49X49X50X53X57X,30.5,36,Congés
ANON_65X48X48X48X51X48X49X49X51X50X50X,23.0,33,Congés
ANON_65X48X48X48X51X48X49X50X55X54X56X,14.0,15,Congés
ANON_65X48X48X48X51X48X49X51X48X52X50X,5.5,7,Congés
ANON_65X48X48X48X51X48X49X51X53X50X51X,13.0,16,Congés
ANON_65X48X48X48X51X48X49X51X53X57X55X,7.0,8,Congés
ANON_65X48X48X48X51X48X49X52X53X55X54X,9.5,13,Congés
ANON_65X55X48X48X48X48X53X48X48X50X48X,29.5,35,Congés
ANON_65X55X48X48X50X53X48X53X54X49X49X,81.0,107,Accident
ANON_65X55X48X48X50X53X48X54X56X56X53X,56.0,59,Congés
ANON_65X55X48X48X50X53X48X55X48X52X49X,26.0,35,Maladie
ANON_65X55X48X48X50X53X48X56X48X54X48X,6.0,6,Congés
ANON_65X55X48X48X57X49X49X49X52X52X51X,25.5,35,Congés
ANON_65X55X48X48X57X49X49X51X55X51X50X,40.5,41,Congés
ANON_65X70X48X50X48X48X50X49X50X48X49X,25.5,32,Congés
ANON_65X84X48X48X48X48X48X49X49X50X50X,36.5,41,Congés
ANON_65X84X48X56X48X48X48X50X54X55X55X,38.0,50,Congés
ANON_65X86X48X53X48X48X48X49X54X56X56X,28.0,35,Congés
ANON_66X72X48X48X48X48X48X49X48X51X53X,27.0,33,Congés
ANON_66X72X48X48X48X48X51X53X48X52X56X,76.5,87,Maladie
ANON_66X72X48X48X48X48X51X53X49X52X55X,45.0,51,Congés
ANON_66X72X48X48X48X48X51X53X49X54X57X,34.0,43,Congés
ANON_66X72X48X48X48X48X51X53X49X57X55X,32.0,37,Congés
ANON_66X72X48X48X48X48X51X53X50X54X48X,30.5,33,Congés
ANON_66X72X48X48X48X48X51X53X50X54X50X,53.5,81,Congés
ANON_66X72X48X48X48X48X51X53X51X51X57X,45.0,52,Congés
ANON_66X72X48X48X48X48X51X53X51X52X53X,54.5,64,Congés
ANON_66X72X48X48X48X48X51X53X51X53X56X,35.0,40,Congés
ANON_66X72X48X48X48X48X51X53X51X53X57X,37.0,43,Congés
ANON_66X72X48X48X48X48X51X53X52X49X53X,41.5,53,Congés
ANON_66X72X48X48X48X48X51X54X51X56X49X,29.0,34,Congés
ANON_66X72X48X48X48X48X51X54X54X55X50X,11.0,13,Congés
ANON_66X72X48X48X48X48X51X54X54X56X48X,55.0,66,Congés
ANON_66X72X48X48X48X48X51X54X55X51X53X,35.0,46,Congés
ANON_66X75X48X48X57X49X50X54X50X52X50X,38.5,53,Congés
ANON_66X75X48X48X57X49X50X56X55X53X57X,28.5,30,Congés
ANON_66X75X48X48X57X49X51X48X52X57X56X,1.0,1,Congés
ANON_66X81X48X48X48X48X48X48X48X48X53X,45.0,58,Congés
ANON_66X81X48X48X48X48X48X48X53X49X51X,28.0,30,Congés
ANON_66X81X48X48X48X48X48X48X53X52X51X,214.0,428,Maladie
ANON_67X72X48X48X48X48X48X50X48X48X55X,28.0,38,Congés
ANON_68X49X48X48X48X48X70X50X53X52X56X,45.0,49,Congés
ANON_68X49X48X48X48X48X70X50X55X55X51X,42.0,55,Congés
ANON_68X49X48X48X48X48X70X50X56X50X50X,42.0,51,Congés
ANON_68X49X48X48X48X48X70X50X56X51X57X,29.0,34,Congés
ANON_68X49X48X48X48X48X70X54X56X49X50X,44.5,54,Congés
ANON_68X49X48X48X48X48X70X54X56X49X57X,36.5,42,Congés
ANON_68X49X48X48X48X48X70X54X56X53X54X,23.0,27,Congés
ANON_68X49X48X48X48X48X70X54X56X54X57X,37.5,46,Congés
ANON_68X49X48X48X48X48X70X54X56X55X57X,87.0,119,Maladie
ANON_68X49X48X48X48X48X70X54X56X56X49X,57.5,79,Maladie
ANON_68X49X48X48X48X48X70X54X56X57X56X,154.0,234,Maladie
ANON_68X49X48X48X48X48X70X54X57X48X54X,149.0,209,Absences non suivi
ANON_68X49X48X48X48X48X70X54X57X48X55X,80.0,115,Congés
ANON_68X49X48X48X48X48X70X54X57X49X51X,27.0,31,Congés
ANON_68X49X48X48X48X48X70X54X57X52X52X,39.0,50,Congés
ANON_68X49X48X48X48X48X70X55X54X50X57X,33.0,42,Congés
ANON_68X49X48X48X48X48X70X55X57X56X57X,42.0,49,Congés
ANON_68X49X48X48X48X48X70X56X53X54X51X,32.0,43,Congés
ANON_68X49X48X48X48X48X70X65X48X55X55X,33.0,40,Congés
ANON_68X49X48X48X48X48X70X65X51X57X51X,29.5,38,Congés
ANON_68X49X48X48X48X48X70X67X51X54X54X,123.0,273,Absences non suivi
ANON_68X49X48X48X48X48X70X67X55X55X56X,37.0,45,Congés
ANON_68X49X48X48X48X48X70X67X56X57X56X,112.5,176,Absences non suivi
ANON_68X49X48X48X48X48X70X67X57X53X53X,43.0,62,Légal / Conventionnel Autre
ANON_68X49X48X48X48X48X70X69X48X49X54X,31.0,31,Congés
ANON_68X49X48X48X48X48X70X69X49X53X55X,35.0,50,Congés
ANON_68X49X48X48X48X48X70X69X49X54X55X,34.0,44,Congés
ANON_68X49X48X48X48X48X70X69X50X51X56X,34.5,43,Congés
