country,headcount,female_share
France,2298,0.5004347826086957
Luxembourg,2111,0.4144954997631454
Malaysia,1304,0.5302218821729151
Germany,609,0.4630541871921182
Ireland,331,0.4350453172205438
Spain,324,0.3765432098765432
Netherlands,300,0.36333333333333334
Brazil,278,0.4316546762589928
Canada,113,0.39823008849557523
Italy,112,0.4107142857142857
Mexico,109,0.4090909090909091
United Kingdom,92,0.5108695652173914
Switzerland,92,0.391304347826087
Belgium,80,0.425
Colombia,33,0.5454545454545454
Jersey,12,0.5
United States of America,4,0.5
