employee_id,country,year,performance_score
ANON_65X48X48X48X48X50X51X52X57X50X56X,France,2023,4
ANON_65X48X48X48X48X50X51X54X48X55X50X,France,2023,5
ANON_65X48X48X48X48X50X51X55X53X55X53X,France,2023,3
ANON_65X48X48X48X48X50X51X57X56X56X53X,France,2023,3
ANON_65X48X48X48X50X53X48X49X50X52X55X,France,2023,3
ANON_65X48X48X48X50X53X48X49X53X52X48X,France,2023,4
ANON_65X48X48X48X50X53X48X51X49X50X57X,France,2023,4
ANON_65X48X48X48X50X53X48X51X54X56X56X,France,2023,3
ANON_65X48X48X48X50X53X48X52X56X48X57X,France,2023,3
ANON_65X48X48X48X50X53X48X52X57X52X53X,France,2023,3
ANON_65X48X48X48X50X53X48X53X49X51X57X,France,2023,3
ANON_65X48X48X48X50X53X48X53X50X49X50X,France,2023,4
ANON_65X48X48X48X50X53X48X53X50X56X53X,France,2023,4
ANON_65X48X48X48X50X53X48X55X48X50X53X,France,2023,4
ANON_65X48X48X48X50X53X49X49X56X53X56X,France,2023,4
ANON_65X48X48X48X50X53X49X50X48X57X57X,France,2023,4
ANON_65X48X48X48X50X53X49X50X53X48X51X,France,2023,4
ANON_65X48X48X48X50X53X49X51X48X51X52X,France,2023,4
ANON_65X48X48X48X50X53X49X52X50X48X57X,France,2023,4
ANON_65X48X48X48X50X53X49X52X51X52X56X,France,2023,3
ANON_65X48X48X48X51X48X48X48X49X54X53X,France,2023,3
ANON_65X48X48X48X51X48X48X48X52X54X53X,France,2023,3
ANON_65X48X48X48X51X48X48X48X56X57X54X,France,2023,3
ANON_65X48X48X48X51X48X48X49X50X50X51X,France,2023,4
ANON_65X48X48X48X51X48X48X49X57X48X52X,France,2023,4
ANON_65X48X48X48X51X48X48X50X48X56X53X,France,2023,3
ANON_65X48X48X48X51X48X48X51X50X49X55X,France,2023,3
ANON_65X48X48X48X51X48X48X51X55X53X49X,France,2023,3
ANON_65X48X48X48X51X48X48X51X57X56X52X,France,2023,4
ANON_65X48X48X48X51X48X48X52X54X51X57X,France,2023,4
ANON_65X48X48X48X51X48X48X52X55X52X51X,France,2023,4
ANON_65X48X48X48X51X48X48X52X56X50X48X,France,2023,3
ANON_65X48X48X48X51X48X48X53X50X50X48X,France,2023,3
ANON_65X48X48X48X51X48X48X53X53X55X49X,France,2023,3
ANON_65X48X48X48X51X48X48X53X57X54X55X,France,2023,3
ANON_65X48X48X48X51X48X48X54X52X57X56X,France,2023,2
ANON_65X48X48X48X51X48X48X54X56X51X57X,France,2023,3
ANON_65X48X48X48X51X48X48X54X56X55X57X,France,2023,4
ANON_65X48X48X48X51X48X48X54X57X50X53X,France,2023,2
ANON_65X48X48X48X51X48X48X56X50X48X53X,France,2023,3
ANON_65X48X48X48X51X48X48X56X56X48X52X,France,2023,3
ANON_65X48X48X48X51X48X48X57X48X56X50X,France,2023,2
ANON_65X48X48X48X51X48X48X57X50X53X56X,France,2023,3
ANON_65X48X48X48X51X48X48X57X51X50X57X,France,2023,4
ANON_65X55X48X48X48X48X53X48X48X50X48X,France,2023,4
ANON_65X55X48X48X50X53X48X53X54X49X49X,France,2023,4
ANON_65X55X48X48X50X53X48X54X56X56X53X,France,2023,2
ANON_65X55X48X48X50X53X48X56X48X54X48X,France,2023,3
ANON_65X55X48X48X57X49X49X49X52X52X51X,France,2023,3
ANON_65X55X48X48X57X49X49X51X55X51X50X,France,2023,3
ANON_65X70X48X50X48X48X50X49X50X48X49X,France,2023,3
ANON_65X84X48X48X48X48X48X49X49X50X50X,France,2023,4
ANON_65X84X48X56X48X48X48X50X54X55X55X,France,2023,3
ANON_65X86X48X53X48X48X48X49X54X56X56X,France,2023,4
ANON_66X72X48X48X48X48X48X49X48X51X53X,France,2023,4
ANON_66X72X48X48X48X48X51X53X48X52X56X,France,2023,3
ANON_66X72X48X48X48X48X51X53X48X53X54X,France,2023,3
ANON_66X72X48X48X48X48X51X53X49X52X55X,France,2023,3
ANON_66X72X48X48X48X48X51X53X49X54X57X,France,2023,2
ANON_66X72X48X48X48X48X51X53X49X57X55X,France,2023,4
ANON_66X72X48X48X48X48X51X53X50X54X48X,France,2023,3
ANON_66X72X48X48X48X48X51X53X50X54X50X,France,2023,4
ANON_66X72X48X48X48X48X51X53X51X51X57X,France,2023,3
ANON_66X72X48X48X48X48X51X53X51X52X53X,France,2023,2
ANON_66X72X48X48X48X48X51X53X51X53X56X,France,2023,3
ANON_66X72X48X48X48X48X51X53X51X53X57X,France,2023,4
ANON_66X72X48X48X48X48X51X53X52X49X53X,France,2023,3
ANON_66X72X48X48X48X48X51X54X51X56X49X,France,2023,4
ANON_66X72X48X48X48X48X51X54X54X55X50X,France,2023,3
ANON_66X72X48X48X48X48X51X54X54X56X48X,France,2023,3
ANON_66X72X48X48X48X48X51X54X55X51X53X,France,2023,4
ANON_66X75X48X48X57X49X50X56X55X53X57X,France,2023,4
ANON_66X81X48X48X48X48X48X48X48X48X53X,France,2023,3
ANON_66X81X48X48X48X48X48X48X53X49X51X,France,2023,4
ANON_66X81X48X48X48X48X48X48X53X52X51X,France,2023,2
ANON_67X72X48X48X48X48X48X50X48X48X55X,France,2023,3
ANON_68X72X48X48X48X48X48X56X50X54X49X,France,2023,4
ANON_68X72X48X48X48X48X48X56X56X53X50X,France,2023,3
ANON_68X72X48X48X48X48X48X57X56X50X48X,France,2023,3
ANON_68X72X48X48X86X73X69X48X48X52X57X,France,2023,4
ANON_70X90X48X48X48X51X48X48X55X57X54X,France,2023,4
ANON_73X74X48X48X56X50X55X48X49X53X55X,France,2023,4
ANON_73X74X48X48X56X54X53X51X50X48X56X,France,2023,3
ANON_73X74X48X48X56X55X48X56X55X55X56X,France,2023,3
ANON_73X74X48X48X56X55X54X48X52X49X51X,France,2023,4
ANON_73X74X48X48X56X55X54X54X56X55X55X,France,2023,4
ANON_73X74X48X49X48X48X54X49X55X50X56X,France,2023,4
ANON_73X74X48X49X48X49X50X57X57X51X49X,France,2023,3
ANON_73X74X48X49X48X50X52X54X49X50X57X,France,2023,4
ANON_73X74X48X49X48X53X48X54X53X49X52X,France,2023,3
ANON_73X74X48X49X48X53X56X53X57X51X50X,France,2023,3
ANON_73X74X48X49X48X53X57X51X52X49X48X,France,2023,3
ANON_73X74X48X49X48X54X51X50X55X49X53X,France,2023,3
ANON_73X74X48X49X48X54X53X48X54X48X48X,France,2023,3
ANON_73X74X48X49X48X54X54X52X51X52X48X,France,2023,4
ANON_73X74X48X49X48X55X56X51X56X55X49X,France,2023,4
ANON_73X74X48X49X49X57X48X54X49X52X50X,France,2023,4
ANON_73X74X48X49X49X57X53X51X54X51X50X,France,2023,4
ANON_73X74X48X49X49X57X56X48X53X49X48X,France,2023,3
ANON_73X74X48X51X55X48X54X53X55X50X48X,France,2023,4
ANON_73X74X48X51X55X49X54X56X56X56X49X,France,2023,3
ANON_73X74X48X51X55X50X56X51X54X54X53X,France,2023,3
ANON_73X74X48X51X55X54X56X49X53X54X55X,France,2023,3
ANON_73X74X48X51X56X49X50X49X51X48X51X,France,2023,3
ANON_73X74X48X52X51X56X51X50X49X55X53X,France,2023,3
ANON_73X74X48X52X52X57X53X48X50X48X52X,France,2023,5
ANON_73X74X48X52X54X51X48X48X48X49X57X,France,2023,3
ANON_73X74X48X52X54X53X53X49X51X49X48X,France,2023,4
ANON_73X74X48X52X57X48X56X51X57X49X57X,France,2023,3
ANON_73X74X48X52X57X51X50X49X55X54X57X,France,2023,1
ANON_73X74X48X52X57X55X51X53X53X51X54X,France,2023,3
ANON_73X74X48X53X48X50X50X55X53X48X57X,France,2023,4
ANON_73X74X48X53X49X54X51X48X49X54X55X,France,2023,3
ANON_73X74X48X53X49X57X48X53X51X48X54X,France,2023,4
ANON_73X74X48X53X49X57X52X50X49X56X51X,France,2023,3
ANON_73X74X48X53X51X49X49X50X57X53X52X,France,2023,3
ANON_73X74X48X53X51X54X57X50X49X50X54X,France,2023,3
ANON_73X74X48X53X51X56X55X51X55X57X54X,France,2023,2
ANON_73X74X48X53X51X57X50X48X57X56X51X,France,2023,3
ANON_73X74X48X53X52X54X55X55X49X55X57X,France,2023,3
ANON_73X76X48X48X48X48X57X49X49X48X48X,France,2023,4
ANON_73X76X48X48X48X48X57X49X49X48X57X,France,2023,4
ANON_73X76X48X48X48X48X57X49X49X50X51X,France,2023,3
ANON_73X76X48X48X48X48X57X49X49X54X51X,France,2023,2
ANON_73X76X48X48X48X48X57X49X50X55X55X,France,2023,3
ANON_73X76X48X48X48X48X57X49X51X52X48X,France,2023,4
ANON_73X76X48X48X48X48X57X49X53X50X51X,France,2023,4
ANON_73X76X48X48X48X48X57X49X54X50X55X,France,2023,3
ANON_73X76X48X48X48X48X57X49X55X54X50X,France,2023,2
ANON_73X76X48X48X48X48X57X49X55X55X56X,France,2023,2
ANON_73X76X48X48X48X48X57X49X56X51X54X,France,2023,3
ANON_73X76X48X48X48X48X57X50X48X52X48X,France,2023,4
ANON_73X76X48X48X48X48X57X50X48X53X49X,France,2023,4
ANON_73X76X48X48X48X48X57X50X48X53X50X,France,2023,3
ANON_73X76X48X48X48X48X57X50X49X51X52X,France,2023,3
ANON_73X76X48X48X48X48X57X50X49X53X56X,France,2023,3
ANON_73X76X48X48X48X48X57X50X49X55X48X,France,2023,3
ANON_73X76X48X48X48X48X57X50X49X56X52X,France,2023,3
ANON_73X76X48X48X48X48X57X50X51X53X49X,France,2023,4
ANON_73X76X48X48X48X48X57X50X53X56X56X,France,2023,3
ANON_73X76X48X48X48X48X57X51X48X48X54X,France,2023,3
ANON_73X76X48X48X48X48X57X51X50X50X49X,France,2023,3
ANON_74X77X48X48X48X48X49X51X50X50X52X,France,2023,3
ANON_74X77X48X48X48X48X50X50X57X49X48X,France,2023,3
ANON_74X77X48X48X48X48X50X51X50X50X53X,France,2023,3
ANON_74X79X48X48X48X48X57X50X50X53X56X,France,2023,3
ANON_74X83X48X48X48X49X48X48X50X48X48X,France,2023,2
ANON_74X84X48X48X57X49X51X49X48X56X56X,France,2023,3
ANON_75X73X48X48X48X48X48X48X48X51X52X,France,2023,4
ANON_75X73X48X48X48X48X48X48X48X57X57X,France,2023,3
ANON_75X73X48X48X48X48X48X48X49X49X51X,France,2023,4
ANON_75X73X48X48X48X48X48X48X49X51X54X,France,2023,4
ANON_75X73X48X48X48X48X48X48X49X57X52X,France,2023,4
ANON_75X73X48X48X48X48X48X48X50X57X50X,France,2023,3
ANON_75X73X48X48X48X48X48X48X52X55X54X,France,2023,4
ANON_75X73X48X48X48X48X48X48X54X52X53X,France,2023,4
ANON_75X73X48X48X48X48X48X48X55X52X52X,France,2023,4
ANON_75X73X48X48X48X48X48X48X55X53X53X,France,2023,3
ANON_75X73X48X48X48X48X48X48X56X56X52X,France,2023,4
ANON_75X75X48X48X48X48X48X48X52X53X50X,France,2023,3
ANON_75X75X48X48X48X48X48X48X53X55X57X,France,2023,3
ANON_75X75X48X48X48X48X48X48X54X55X52X,France,2023,4
ANON_75X75X48X48X48X48X48X48X55X51X49X,France,2023,4
ANON_75X75X48X48X48X48X48X48X55X54X54X,France,2023,2
ANON_75X76X48X48X48X48X57X51X49X55X52X,France,2023,3
ANON_75X76X48X48X48X49X54X55X52X48X57X,France,2023,4
ANON_75X76X48X48X48X49X55X48X51X53X55X,France,2023,4
